release_id,title,profile,run_date
113c2ba6,AlphaAttack,T3xx+T6xx,2003-09-25
361f6b82,AlphaAttack,T3xx+T6xx,2003-09-25
76ba84c9,Lisa,T3xx+T6xx,2003-06-16
d5cdde50,Revs!,T3xx+T6xx,2003-09-05
92de547b,RussPack,T3xx+T6xx,2004-03-10
276b2951,The FlintStones,T3xx+T6xx,2003-11-06
57678f2b,Strike Out,T6xx,2004-04-17
0edc8e2a,Warships,T6xx,2003-10-28
a6a96098,Warships,T3xx,2003-10-28
