release_id,sha256,title,mode,folder_label,candidate_dates,sources,M001,M002,M003
8f4aea6e,8f4aea6e547aa446013d5c7066ab559c20fc95be9ee5be147e925750d21ed115,Alpine Ski,window,date 2003-06-16..2010-06-20,,,2003-06-16,2010-06-20,
92de547b,92de547b6f6b5fa20405b341c6ac52abd71c9aab2d6ce5c255fa86869ea9d0fc,RussPack,run,run 2004-03-10,2004-03-10,2004-03-10 — historical site comment,,,
941b542b,941b542b592337ec5351abfb519cb1a95cdbc473cfc6efc49be57a8ab37da1b8,Tony Hawk,window,date 2004-03-20..2004-03-24,,,2004-03-20,2004-03-24,
951a5301,951a53010a05eb1002e7b8b0b7f1ae66c9b3b0abc2e56fa8907f15851d6c8d28,Tony Hawk,run,run 2004-03-24,2004-03-24,2004-03-24 — sonyericsson.paradisezone.net juegos.html — THPS4 San Francisco & London,2004-03-23,2004-03-27,
9ab16526,9ab16526874882cf5ab9e3765fff6f927196abca1f21eb426bb782caf9334956,DragonTale,run,run 2003-11-11,2003-11-11,2003-11-11 — nearby text/file hint,1999-12-01,2004-08-27,
9d3856da,9d3856da3e281afbf37bb887f5ee1d485f509c03112e55a583974402398cb046,Final Hit,window,date 2003-06-16..2010-06-20,,,2003-06-16,2010-06-20,
a0171e1d,a0171e1ddd2e23b1ad4f1db387bb645f2d793261b8437abda5889097fb36a9b3,Strike Out,run,run 2004-04-17,2004-04-17,2004-04-17 — historical site comment,2004-04-17,2004-04-27,
a521d9b0,a521d9b09bff709440074652c70ebc5caf391f8a5faada3d4664198787b50ee4,Space Explorer,run,run 2004-03-10,2004-03-10,2004-03-10 — nearby text/file hint,2004-03-10,2004-03-12,
a69db37e,a69db37e5dab354d46f927fb6318da5fea55259003a5034c77f18c723642bcf9,Changs Orbhunt,window,date 1999-12-01..2010-12-31,,,1999-12-01,2010-12-31,
a6a96098,a6a9609866357b7b8405f93b9130fde8e0144f19ef7d720a2540f86712cd413b,Warships,run,run 2003-10-28,2003-10-28,2003-10-28 — historical site comment,,,
a73399fb,a73399fbdf37d1c7e8612e8637caa5570e0e3c27a1ee3b210ff240cb5f3828c4,Sheep Mania,window,date 1999-12-01..2003-08-14,,,1999-12-01,2003-08-14,
a87281d2,a87281d2bc8d89e2f8c90208f9ddc627531e925a6e8865f00519de22d8c58a01,Incoming,window,date 1999-12-01..2004-08-26,,,1999-12-01,2004-08-26,
a8e33782,a8e33782b61e22f9976adbe587741e35d088c8c4066334bb4583b65e3466e06c,Rally,window,v1.02 date 2004-03-10,,,,,
ab2840cb,ab2840cbeebe1df297b5b6e0ac813d360e042ba21a6dfd6fb014ee978042651c,Sheep Mania,window,date 1999-12-01..2004-08-27,,,1999-12-01,2004-08-27,
ba645152,ba6451527a98234650791691f7ecaafb214ad4ed39b0f8e67d9fabad9981331d,Hyper Apocalypse,run,run 2003-10-30,2003-10-30,2003-10-30 — pcbanan Hyperapocalypset FULL/HYPERAPOCALYPSET.txt,1999-12-01,2004-08-27,
bd62b2ae,bd62b2aef5dc0f45850f5040a797c35b4c04fe390e0aad0e2a2acab2cdea9418,Gun Carnage,run,run 2003-10-30,2003-10-30,2003-10-30 — nearby text/file hint,2000-10-30,2009-11-01,
bd997d25,bd997d253d83c9d03f244dbabbc460c0c9dc88db2eb2fb3d3aed9e48225e51bb,Evac,window,date 1999-12-01..2004-08-27,,,1999-12-01,2004-08-27,
